,Temp_LM75/oC,Temp_BME680/oC,Temp_NTC/oC,Pressure/kPa,Humidity/%,Time
0,23.46,35.49,33.44,99.22,36.04,2021-05-04 00:00:08
1,23.46,35.48,33.44,99.23,36.11,2021-05-04 00:00:46
2,23.46,35.48,33.44,99.22,36.19,2021-05-04 00:01:19
3,23.46,35.47,33.46,99.22,36.4,2021-05-04 00:01:53
4,23.46,35.45,33.44,99.22,36.2,2021-05-04 00:02:27
5,23.46,35.45,33.44,99.23,36.08,2021-05-04 00:03:01
6,22.96,35.44,33.41,99.21,36.19,2021-05-04 00:03:35
7,23.46,35.44,33.39,99.21,36.36,2021-05-04 00:04:08
8,23.46,35.43,33.33,99.22,36.46,2021-05-04 00:04:42
9,23.46,35.43,33.43,99.21,36.89,2021-05-04 00:05:16
10,22.96,35.42,33.41,99.21,36.82,2021-05-04 00:05:50
11,23.46,35.41,33.39,99.21,36.87,2021-05-04 00:06:23
12,22.96,35.41,33.39,99.21,36.87,2021-05-04 00:06:57
13,23.46,35.4,33.35,99.21,36.95,2021-05-04 00:07:37
14,22.96,35.39,33.37,99.21,36.93,2021-05-04 00:08:11
15,23.46,35.39,33.37,99.21,37.32,2021-05-04 00:08:45
16,22.96,35.38,33.37,99.21,37.62,2021-05-04 00:09:19
17,23.46,35.37,33.33,99.21,37.58,2021-05-04 00:09:54
18,23.46,35.36,33.37,99.21,37.08,2021-05-04 00:10:28
19,22.96,35.34,33.35,99.21,37.12,2021-05-04 00:11:01
20,22.96,35.35,33.35,99.21,37.1,2021-05-04 00:11:36
21,23.46,35.35,33.39,99.21,37.6,2021-05-04 00:12:09
22,22.96,35.33,33.31,99.21,37.71,2021-05-04 00:12:44
23,23.46,35.32,33.33,99.2,38.39,2021-05-04 00:13:18
24,23.46,35.31,33.31,99.21,38.2,2021-05-04 00:13:52
25,23.46,35.29,33.33,99.2,38.23,2021-05-04 00:14:38
26,22.96,35.29,33.33,99.2,38.27,2021-05-04 00:15:12
27,23.46,35.29,33.35,99.2,37.7,2021-05-04 00:15:46
28,22.96,35.3,33.35,99.2,37.83,2021-05-04 00:16:20
29,22.96,35.28,33.31,99.2,37.81,2021-05-04 00:16:54
30,22.96,35.28,33.27,99.2,38.56,2021-05-04 00:17:28
31,22.96,35.27,33.31,99.2,38.52,2021-05-04 00:18:02
32,22.96,35.26,33.27,99.19,39.4,2021-05-04 00:18:36
33,22.96,35.25,33.27,99.2,39.85,2021-05-04 00:19:10
34,22.96,35.24,33.27,99.19,39.45,2021-05-04 00:19:44
35,22.96,35.23,33.27,99.2,39.35,2021-05-04 00:20:18
36,22.96,35.22,33.29,99.19,39.48,2021-05-04 00:20:52
37,22.96,35.2,33.27,99.19,39.84,2021-05-04 00:21:26
38,22.96,35.2,33.25,99.19,39.94,2021-05-04 00:22:00
39,22.96,35.19,33.27,99.19,39.37,2021-05-04 00:22:34
40,23.46,35.18,33.29,99.2,39.31,2021-05-04 00:23:08
41,22.96,35.17,33.27,99.19,39.76,2021-05-04 00:23:42
