Time(H.M.S),Temp_LM75/oC,Temp_BME680/oC,Temp_NTC/oC,Pressure/kPa,Humidity/%
07.05.48,20.96,26.82,24.17,102.02,41.12
07.06.25,20.96,27.17,24.34,102.02,40.77
07.06.59,20.96,27.34,24.45,102.02,40.42
07.07.33,21.46,27.51,24.62,102.02,40.14
07.08.06,20.96,27.66,24.78,102.02,39.85
07.08.40,21.46,27.82,24.92,102.01,39.55
07.09.14,21.46,27.97,25.04,102.02,39.30
07.09.48,21.46,28.11,25.24,102.02,38.98
07.10.21,21.46,28.25,25.31,102.02,38.75
07.10.55,21.46,28.38,25.47,102.02,38.45
07.11.34,21.46,28.52,25.63,102.02,38.07
07.12.08,21.46,28.65,25.73,102.02,37.81
07.12.42,21.46,28.76,25.87,102.02,37.54
07.13.16,21.46,28.88,25.93,102.02,37.30
07.13.49,21.46,28.98,26.07,102.02,37.03
07.14.23,21.96,29.09,26.18,102.02,36.81
07.14.57,21.46,29.20,26.28,102.02,36.60
07.15.37,21.46,29.31,26.35,102.02,36.37
07.16.11,21.96,29.40,26.48,102.01,36.19
07.16.44,21.46,29.50,26.60,102.02,36.04
07.17.18,21.46,29.58,26.67,102.02,35.90
07.17.52,21.46,29.67,26.76,102.01,35.62
07.18.26,21.46,29.75,26.83,102.01,35.37
07.19.00,21.96,29.85,26.96,102.01,35.15
07.19.33,21.96,29.93,26.99,102.02,34.86
07.20.07,21.46,30.01,27.17,102.01,34.64
07.20.41,21.96,30.08,27.19,102.01,34.52
07.21.15,21.46,30.17,27.21,102.02,34.44
07.21.48,21.46,30.25,27.35,102.02,34.34
07.22.22,21.46,30.33,27.46,102.02,34.21
07.22.56,21.96,30.42,27.53,102.02,34.01
07.23.35,21.96,30.51,27.60,102.02,33.81
07.24.09,21.46,30.59,27.73,102.02,33.69
07.24.43,21.46,30.68,27.75,102.02,33.59
07.25.17,21.96,30.75,27.87,102.02,33.40
07.25.50,21.96,30.83,27.87,102.01,33.26
07.26.24,21.46,30.92,27.98,102.02,33.08
07.26.58,21.96,31.00,28.07,102.01,32.94
07.27.32,22.46,31.08,28.14,102.02,32.78
07.28.06,21.96,31.16,28.25,102.02,32.65
07.28.40,21.96,31.24,28.29,102.02,32.58
07.29.14,22.46,31.31,28.42,102.01,32.44
07.29.47,21.96,31.39,28.47,102.01,32.36
07.30.21,21.96,31.48,28.56,102.02,32.22
07.30.55,22.46,31.55,28.63,102.01,32.10
07.31.35,21.96,31.66,28.69,102.02,32.04
07.32.09,22.46,31.72,28.80,102.01,31.95
07.32.43,21.96,31.81,28.85,102.01,31.83
07.33.16,21.96,31.88,28.96,102.02,31.75
07.33.50,22.46,31.96,28.98,102.02,31.67
07.34.24,22.46,32.02,29.12,102.02,31.59
07.34.58,21.96,32.09,29.16,102.02,31.47
07.35.32,21.96,32.16,29.20,102.02,31.38
07.36.06,22.46,32.22,29.31,102.02,31.22
07.36.39,22.46,32.29,29.34,102.02,31.10
07.37.13,22.46,32.34,29.42,102.02,31.03
07.37.47,22.46,32.42,29.51,102.02,30.96
07.38.21,22.46,32.46,29.56,102.02,30.90
07.38.54,22.46,32.52,29.60,102.02,30.83
07.39.34,22.46,32.58,29.64,102.02,30.74
07.40.23,22.46,32.65,29.78,102.02,30.59
07.40.57,22.96,32.70,29.82,102.02,30.57
07.41.36,22.46,32.77,29.87,102.02,30.56
07.42.09,22.46,32.81,29.93,102.03,30.44
07.42.43,22.96,32.86,29.99,102.03,30.37
07.43.17,22.46,32.90,30.00,102.03,30.34
07.43.50,22.96,32.95,30.10,102.02,30.29
07.44.24,22.46,32.99,30.13,102.03,30.19
07.44.58,22.46,33.03,30.24,102.03,30.08
07.45.32,22.96,33.08,30.24,102.03,30.09
07.46.06,22.96,33.11,30.34,102.03,30.06
07.46.39,22.96,33.15,30.37,102.03,30.02
07.47.13,22.96,33.20,30.43,102.03,30.02
07.47.47,22.96,33.23,30.48,102.03,29.95
07.48.20,22.96,33.27,30.45,102.03,29.87
07.48.54,22.96,33.30,30.54,102.03,29.70
07.49.32,22.96,33.34,30.59,102.03,29.56
07.50.06,22.96,33.37,30.65,102.03,29.48
07.50.40,22.96,33.40,30.69,102.03,29.50
07.51.14,22.96,33.45,30.71,102.03,29.45
07.51.47,22.96,33.47,30.76,102.03,29.44
07.52.21,22.96,33.50,30.80,102.03,29.43
07.52.55,22.96,33.54,30.82,102.03,29.58
07.53.35,22.96,33.57,30.93,102.03,29.88
07.54.09,22.96,33.61,30.93,102.03,30.07
07.54.43,22.96,33.63,30.95,102.03,30.09
07.55.16,22.96,33.66,30.98,102.03,30.15
07.55.50,22.96,33.69,31.06,102.03,30.36
07.56.24,22.96,33.72,31.06,102.03,30.50
07.56.58,23.46,33.74,31.10,102.04,30.53
07.57.32,23.46,33.76,31.12,102.04,30.67
07.58.05,23.46,33.78,31.19,102.04,30.91
07.58.39,23.46,33.80,31.17,102.04,31.04
